x,z
3.002400549999999946e+00,8.959228619999999310e+00
3.000931679999999879e+00,8.950880870000000655e+00
3.000165609999999816e+00,8.942694299999999430e+00
3.000157610000000030e+00,8.942512230000000173e+00
3.000050739999999827e+00,8.936442539999999823e+00
3.000398619999999905e+00,8.930545410000000572e+00
3.000415509999999841e+00,8.930390429999999213e+00
3.001144079999999992e+00,8.924765170000000580e+00
3.002391649999999856e+00,8.918470380000000475e+00
3.002423770000000047e+00,8.918343300000000085e+00
3.003430250000000079e+00,8.914843680000000603e+00
3.004796400000000034e+00,8.911095359999999133e+00
3.004828100000000113e+00,8.911016990000000249e+00
3.005723399999999934e+00,8.908928910000000201e+00
3.006725129999999968e+00,8.906839650000000219e+00
3.006757519999999850e+00,8.906777870000000874e+00
3.007864029999999911e+00,8.904717099999999164e+00
3.009073439999999877e+00,8.902714980000000722e+00
3.009112070000000028e+00,8.902657030000000304e+00
3.010421440000000004e+00,8.900742169999999120e+00
3.011816630000000217e+00,8.898929150000000732e+00
3.011864640000000204e+00,8.898872490000000468e+00
3.013574549999999963e+00,8.896893659999999926e+00
3.015340060000000211e+00,8.895073939999999624e+00
3.015391950000000154e+00,8.895024890000000184e+00
3.017179050000000196e+00,8.893375909999999607e+00
3.018955300000000008e+00,8.891907829999999180e+00
3.019015770000000209e+00,8.891862890000000519e+00
3.021330320000000125e+00,8.890181809999999629e+00
3.023574780000000128e+00,8.888768380000000136e+00
3.029442560000000118e+00,8.885773070000000828e+00
3.029564119999999861e+00,8.885709719999999479e+00
3.034854189999999896e+00,8.883584219999999476e+00
3.058361409999999836e+00,8.877714409999999390e+00
3.058819440000000167e+00,8.877614619999999235e+00
3.059515540000000033e+00,8.877557060000000888e+00
3.082972799999999847e+00,8.876294209999999296e+00
3.102491870000000151e+00,8.879367059999999867e+00
3.103074129999999986e+00,8.879463579999999467e+00
3.108470769999999828e+00,8.881334409999999124e+00
3.108565350000000116e+00,8.881364579999999620e+00
3.108588750000000012e+00,8.881386600000000797e+00
3.114197850000000045e+00,8.888303170000000364e+00
3.118779579999999996e+00,8.887892389999999310e+00
3.123321080000000194e+00,8.887485220000000297e+00
3.123828089999999946e+00,8.887375849999999744e+00
3.124330720000000117e+00,8.887267440000000462e+00
3.124741180000000007e+00,8.887140020000000362e+00
3.125148080000000217e+00,8.887013700000000682e+00
3.125761300000000187e+00,8.886722699999999975e+00
3.126369159999999869e+00,8.886434239999999818e+00
3.127058129999999991e+00,8.885959299999999672e+00
3.127741040000000083e+00,8.885488540000000768e+00
3.129649880000000106e+00,8.883687460000000868e+00
3.131540799999999791e+00,8.881903290000000339e+00
3.133007559999999803e+00,8.880063859999999920e+00
3.134460520000000194e+00,8.878241750000000820e+00
3.136251430000000173e+00,8.875321030000000277e+00
3.138024619999999931e+00,8.872429199999999128e+00
3.139411990000000152e+00,8.870591900000000862e+00
3.140786269999999991e+00,8.868771929999999415e+00
3.145863939999999914e+00,8.863780269999999462e+00
