x,z,cp,tangential_velocity
7.859639003736600404e-01,4.014761969484807735e-02,3.081214071817772737e-01,-8.317923976679654219e-01
7.843376666759058757e-01,4.061261514285324087e-02,3.188726264678711786e-01,-8.253044126454970320e-01
7.827221598004783232e-01,4.112510140755485516e-02,3.330182607005975903e-01,-8.166894999321360205e-01
7.811134635164993512e-01,4.167541710875780070e-02,2.860113545422177106e-01,-8.449784881627355748e-01
7.794891088321770356e-01,4.219660056467415543e-02,2.887036254053256812e-01,-8.433838832908027161e-01
7.778625208841182248e-01,4.272834451131257705e-02,3.008496473741582022e-01,-8.361521109378614591e-01
7.762388800673092337e-01,4.328482286501787735e-02,2.857832178606352080e-01,-8.451134729368386944e-01
7.746122488429167952e-01,4.384669336884334384e-02,2.773174065415785483e-01,-8.501074011314225798e-01
7.729821210766656403e-01,4.441293103129106967e-02,2.709608069181351775e-01,-8.538379196790599757e-01
7.713487848666229496e-01,4.498481795151387796e-02,2.663562321728959459e-01,-8.565300740937845658e-01
7.697123697815517751e-01,4.556208859978422288e-02,2.610835777100242172e-01,-8.596024792251216740e-01
7.680727351729417229e-01,4.614401562731001993e-02,2.585745617598369517e-01,-8.610606472485913265e-01
7.664301130795156958e-01,4.673136061292258725e-02,2.567661088373355271e-01,-8.621101386497345143e-01
7.647840970488364309e-01,4.732307551227214748e-02,2.586118579458869249e-01,-8.610389898570871559e-01
7.631347649416322376e-01,4.791908552496020046e-02,2.672845087351971571e-01,-8.559880205147749610e-01
7.614781334335352092e-01,4.850785047790445725e-02,2.966021750769024523e-01,-8.386881571377394762e-01
7.598820727792967578e-01,4.922776902035289059e-02,3.366945663245782816e-01,-8.144356534898393729e-01
7.583156351186470800e-01,5.003267633962325128e-02,1.673717262318447085e-01,-9.124846704291285082e-01
7.567105549751225180e-01,5.078289173491744302e-02,1.489174770017540617e-01,-9.225413394521927435e-01
7.551014523189507610e-01,5.153498725496921673e-02,1.108112067243156584e-01,-9.429680764881090971e-01
7.534883519644850480e-01,5.228895130153527609e-02,6.213947775791395234e-02,-9.684319915420421809e-01
7.518712787877287473e-01,5.304477224755731884e-02,-1.606909866539418807e-02,-1.008002529096725164e+00
7.502199284123545198e-01,5.372363182919402680e-02,-9.314831981880478118e-02,-1.045537335449483018e+00
7.485196403007761123e-01,5.428735998932301965e-02,-2.960065930600563888e-02,-1.014692396397058660e+00
7.468057545454585000e-01,5.483030104764449741e-02,3.512457272510949302e-02,-9.822807273253866267e-01
7.450953910675759406e-01,5.539814358499442482e-02,4.506288309798445191e-02,-9.772088399630938227e-01
7.433835010680176492e-01,5.597510617855874782e-02,4.357531386249668959e-02,-9.779696754692873695e-01
7.416676128420519598e-01,5.655341630442849155e-02,4.358654237206749382e-02,-9.779639347276219974e-01
7.399477528507978352e-01,5.713306504434609995e-02,4.288314487065136849e-02,-9.783234920665805356e-01
7.382239476166239101e-01,5.771404345941096026e-02,4.149913626014167800e-02,-9.790305734449044062e-01
7.364962237227392627e-01,5.829634259021720943e-02,3.963132299608596032e-02,-9.799840187492416810e-01
7.347646078127838543e-01,5.887995345699190836e-02,3.747579435846026819e-02,-9.810831797770970253e-01
7.330291265904169684e-01,5.946486705973352827e-02,3.522019061855141686e-02,-9.822320547515482891e-01
7.312898068189059853e-01,6.005107437835073558e-02,3.306212575511136009e-02,-9.833299925482231751e-01
7.295466753207134891e-01,6.063856637280152367e-02,3.123917311216273252e-02,-9.842564843006305075e-01
7.277997589770834885e-01,6.122733398323254583e-02,3.007799930546861678e-02,-9.848461812356950063e-01
7.260490847276269699e-01,6.181736813011892706e-02,3.008906912168662906e-02,-9.848405611459721820e-01
7.242946795699065632e-01,6.240865971440420767e-02,3.218558045733799222e-02,-9.837755940978928360e-01
7.225365705590203191e-01,6.300119961764069632e-02,3.832354868889265020e-02,-9.806510344210662700e-01
7.207747848071838215e-01,6.359497870213010051e-02,5.398533234318148022e-02,-9.726328534739192566e-01
7.190166459138427335e-01,6.420903029796959371e-02,7.784153802117310672e-02,-9.602908215633568778e-01
7.172798450518484970e-01,6.489007086395753854e-02,7.074758057475960538e-02,-9.639773957024305728e-01
7.155571635518788165e-01,6.561918172877566346e-02,4.371669187097193543e-03,-9.978117712338849810e-01
7.138310148972293323e-01,6.634976003847381509e-02,-3.703581472683947773e-02,-1.018349554292061088e+00
7.121014257072477704e-01,6.708179452663071141e-02,-7.357210367273414597e-02,-1.036133246099522731e+00
7.103684226543387492e-01,6.781527390436895009e-02,-1.099449694582177450e-01,-1.053539258622201436e+00
7.086320324635533296e-01,6.855018686052918864e-02,-1.490940782696983380e-01,-1.071958058073961384e+00
