x,z
3.859395199999999804e+00,8.154288210000000703e+00
3.835772659999999945e+00,8.156692930000000175e+00
3.799445899999999821e+00,8.161002240000000185e+00
3.776224179999999819e+00,8.162402800000000624e+00
3.760262940000000054e+00,8.163770980000000677e+00
3.707475989999999832e+00,8.164775170000000415e+00
3.676258849999999967e+00,8.163865960000000754e+00
3.632645300000000077e+00,8.159942009999999968e+00
3.598024389999999961e+00,8.154427169999999947e+00
3.568798460000000006e+00,8.147914820000000446e+00
3.522834319999999853e+00,8.134231700000000842e+00
3.512374340000000039e+00,8.130514480000000432e+00
3.489510549999999878e+00,8.120361880000000809e+00
3.465335089999999951e+00,8.109353159999999505e+00
3.450858709999999885e+00,8.100867870000000082e+00
3.428509800000000052e+00,8.086370399999999847e+00
3.427051089999999967e+00,8.085384649999999951e+00
3.425903700000000107e+00,8.084339679999999362e+00
3.396051710000000057e+00,8.056442280000000622e+00
3.391722450000000055e+00,8.052263809999999467e+00
3.382137650000000217e+00,8.040587130000000471e+00
3.376599730000000132e+00,8.033507860000000278e+00
3.370948160000000193e+00,8.025396710000000766e+00
3.364823819999999799e+00,8.015952950000000854e+00
3.359001919999999863e+00,8.005849469999999357e+00
3.353212130000000180e+00,7.993177750000000081e+00
3.348736559999999862e+00,7.982055210000000400e+00
3.341362020000000044e+00,7.959982680000000421e+00
3.337877830000000046e+00,7.949218410000000290e+00
3.336522420000000100e+00,7.943397570000000130e+00
3.332645910000000100e+00,7.917863679999999960e+00
3.332264250000000150e+00,7.913743160000000110e+00
3.332179909999999801e+00,7.911447569999999985e+00
3.332643480000000213e+00,7.892353159999999868e+00
3.333423550000000013e+00,7.883138269999999892e+00
3.334485350000000015e+00,7.876077610000000284e+00
3.336822020000000055e+00,7.864937600000000195e+00
3.337376840000000122e+00,7.862914960000000342e+00
3.339925860000000135e+00,7.855395920000000309e+00
3.341158609999999918e+00,7.851995279999999688e+00
3.341376980000000163e+00,7.851386810000000160e+00
3.341733490000000195e+00,7.850554510000000263e+00
3.344559639999999945e+00,7.844704649999999724e+00
3.345029910000000051e+00,7.843761549999999971e+00
3.345459879999999941e+00,7.842983839999999596e+00
3.346713740000000215e+00,7.840882630000000297e+00
3.347126770000000029e+00,7.840186250000000356e+00
3.347613330000000165e+00,7.839421180000000433e+00
3.348181949999999851e+00,7.838588439999999657e+00
3.349203029999999970e+00,7.837107729999999606e+00
